,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
239,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral,36.31593728065491,0.5,99.0,0.5,20,0.9642999999999999,0.004187149653669217
240,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.25,spiral_hard,8.94172191619873,0.05,,,20,0.6662333333333333,0.07561283694658674
241,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,21.576500415802002,0.05,99.0,1.0,20,0.9224,0.1660929324872742
242,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,spiral_hard,9.49339032173157,0.1,,,20,0.8211999999999999,0.017778388878385794
243,gaussian,15.0,knn,0.2,GTAM,,False,0.2,spiral,35.191018342971795,0.5,99.0,0.0,20,0.8997666666666666,0.0005686240703077476
244,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.4,spiral,6.026136875152588,0.5,,,20,0.6646,0.013150242921288156
245,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.35,spiral_hard,9.690173625946043,0.01,,,20,0.5889666666666666,0.05805915565658491
246,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,33.03740954399109,0.5,99.0,0.1,20,0.9313333333333332,0.001966384160500352
247,gaussian,15.0,knn,0.2,LGC,0.4,False,0.4,spiral_hard,1.2902436256408691,0.01,,,20,0.5473000000000001,0.04541926903859198
248,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral,41.00387215614319,0.5,99.0,1.0,20,0.9903333333333333,0.009258029547971365
249,gaussian,15.0,knn,0.2,LGC,0.9,False,0.3,spiral_hard,11.174396276473999,0.1,,,20,0.7961666666666666,0.028196039911070264
250,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral,38.71168661117554,0.1,99.0,0.25,20,0.9907999999999999,0.0008326663997864538
